t	j1	j2	j3	j4	j5	grip	ref1	ref2	ref3	ref4	ref5	refg	u1	u2	u3	u4	u5	u6
17.20	15.7	1.1	-14.9	-0.9	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
17.30	15.7	1.1	-14.9	-0.9	-0.4	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.6	0.0	0.0	0.0
17.40	15.4	1.1	-14.7	-0.8	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.6	0.0	0.0	0.0
17.50	15.4	1.1	-14.7	-0.8	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
17.60	15.7	1.0	-14.2	-0.9	-0.3	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
17.70	15.7	1.0	-14.2	-0.9	-0.3	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.6	0.0	0.0	0.0
17.80	15.9	1.1	-14.7	-0.3	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.6	0.0	0.0	0.0
17.90	15.9	1.1	-14.7	-0.3	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
18.00	16.4	1.1	-15.6	-0.6	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.1	0.0	0.0	0.0
18.10	16.4	1.1	-15.6	-0.6	-0.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
18.20	15.6	1.1	-15.9	-1.0	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
18.30	15.6	1.1	-15.9	-1.0	-0.8	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
18.40	14.9	0.8	-15.2	-1.8	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
18.50	14.9	0.8	-15.2	-1.8	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0
18.60	15.2	0.9	-14.7	-1.5	-1.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0
18.70	15.2	0.9	-14.7	-1.5	-1.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
18.80	15.6	1.0	-14.3	-0.7	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.2	0.0	0.0	0.0
18.90	15.6	1.0	-14.3	-0.7	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.5	0.0	0.0	0.0
19.00	15.3	1.1	-14.4	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.5	0.0	0.0	0.0
19.10	15.3	1.1	-14.4	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.1	0.0	0.0	0.0
19.20	15.0	1.1	-15.3	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.1	0.0	0.0	0.0
19.30	15.0	1.1	-15.3	-0.8	-1.1	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
19.40	15.3	1.0	-16.1	-1.3	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0
19.50	15.3	1.0	-16.1	-1.3	-1.2	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0
19.60	15.7	1.1	-15.0	-0.1	-1.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0
19.70	15.7	1.1	-15.0	-0.1	-1.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0
19.80	15.4	0.9	-14.6	-0.9	-1.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0
19.90	15.4	0.9	-14.6	-0.9	-1.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.4	0.0	0.0	0.0
20.00	15.0	1.1	-14.4	-0.6	-1.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.4	0.0	0.0	0.0
20.10	15.0	1.1	-14.4	-0.6	-1.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.2	0.0	0.0	0.0
20.20	15.0	0.8	-14.8	-1.7	-1.3	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.2	0.0	0.0	0.0
20.30	15.0	0.8	-14.8	-1.7	-1.3	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
20.40	15.4	0.9	-15.5	-1.2	-1.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
20.50	15.4	0.9	-15.5	-1.2	-1.5	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
20.60	15.4	0.8	-15.7	-1.3	-0.9	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
20.70	15.4	0.8	-15.7	-1.3	-0.9	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
20.80	15.0	1.1	-14.8	-1.2	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
20.90	15.0	1.1	-14.8	-1.2	-1.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
21.00	15.4	1.0	-14.4	-1.6	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	0.0
21.10	15.4	1.0	-14.4	-1.6	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
21.20	15.7	1.0	-14.5	-1.2	-1.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0
21.30	15.7	1.0	-14.5	-1.2	-1.3	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
21.40	15.5	1.0	-15.2	-1.3	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
21.50	15.5	1.0	-15.2	-1.3	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
21.60	15.2	0.9	-15.6	-1.1	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
21.70	15.2	0.9	-15.6	-1.1	-0.9	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
21.80	15.0	1.0	-15.4	-1.7	-0.2	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0
21.90	15.0	1.0	-15.4	-1.7	-0.2	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0
22.00	15.4	0.7	-15.2	-2.0	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0
22.10	15.4	0.7	-15.2	-2.0	-1.1	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
22.20	15.2	1.0	-14.6	-1.5	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0
22.30	15.2	1.0	-14.6	-1.5	-0.7	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.6	0.0	0.0	0.0
22.40	14.6	0.9	-14.1	-1.5	-1.0	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.6	0.0	0.0	0.0
22.50	14.6	0.9	-14.1	-1.5	-1.0	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
22.60	14.8	1.1	-14.9	-1.3	-0.6	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-4.9	0.0	0.0	0.0
22.70	14.8	1.1	-14.9	-1.3	-0.6	51.4	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.5	0.0	0.0	0.0
22.80	15.2	1.0	-15.7	-2.4	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.5	0.0	0.0	0.0
22.90	15.2	1.0	-15.7	-2.4	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
23.00	15.4	1.2	-15.5	-1.1	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0
23.10	15.4	1.2	-15.5	-1.1	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
23.20	15.0	1.2	-15.3	-1.2	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0
23.30	15.0	1.2	-15.3	-1.2	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
23.40	15.1	1.2	-14.8	-1.1	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0
23.50	15.1	1.2	-14.8	-1.1	-0.4	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
23.60	15.8	1.2	-14.1	-1.4	-0.6	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-2.8	0.0	0.0	0.0
23.70	15.8	1.2	-14.1	-1.4	-0.6	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
23.80	16.2	1.0	-14.5	-1.0	-0.1	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
23.90	16.2	1.0	-14.5	-1.0	-0.1	51.7	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
24.00	15.6	1.3	-15.5	-0.9	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.7	0.0	0.0	0.0
24.10	15.6	1.3	-15.5	-0.9	-0.5	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
24.20	15.5	1.1	-15.8	-1.1	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.0	0.0
24.30	15.5	1.1	-15.8	-1.1	-0.3	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0
24.40	16.0	1.2	-15.6	-1.4	-0.7	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0
24.50	16.0	1.2	-15.6	-1.4	-0.7	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
24.60	15.6	1.2	-14.7	-1.7	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
24.70	15.6	1.2	-14.7	-1.7	-0.4	51.6	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
24.80	15.3	1.3	-14.1	-0.7	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.3	0.0	0.0	0.0
24.90	15.3	1.3	-14.1	-0.7	-0.6	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
25.00	14.9	1.0	-14.6	-1.4	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0	0.0	0.0
25.10	14.9	1.0	-14.6	-1.4	-0.8	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.6	0.0	0.0	0.0
25.20	15.7	0.9	-15.2	-1.2	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	-3.6	0.0	0.0	0.0
25.30	15.7	0.9	-15.2	-1.2	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0
25.40	15.4	1.0	-15.7	-1.9	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0
25.50	15.4	1.0	-15.7	-1.9	-1.0	51.5	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
25.60	14.7	0.8	-15.5	-1.5	-1.5	51.3	0.0	0.0	-15.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
